월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2021.08,톡신,300249,11573355,19629,589.6049,-23.89,-30.81
2021.08,톡신,3002491000,11573355,19629,589.6049,-23.89,-30.81
2021.08,창상피복재,3005904000,4117133,51800,79.4813,102.67,-32.13
2021.08,화장품,330499,540634169,19313831,27.9921,22.13,7.17
2021.08,기초화장품,3304991000,363020877,12928695,28.0787,27.84,9.7
2021.08,메이크업화장품,3304992000,48888362,862065,56.7108,49.89,15.53
2021.08,필러,3304999000,125475453,5169174,24.2738,0.77,-1.6
2021.08,마스크팩,3307904000,45949041,4254490,10.8001,38.33,-5.17
2021.08,동박,7410211000,36614083,402446,90.9789,53.38,1.58
2021.08,알루미늄박,7606120000,204106299,58625389,3.4815,71.8,14.61
2021.08,레이저마커장비,8456119000,13503153,305795,44.1575,17.15,64.11
2021.08,DRAM모듈,8473304060,1193530028,161832,7375.1176,54.99,-3.45
2021.08,변압기,8504,206992933,11973276,17.2879,26.28,-9.54
2021.08,대형변압기,8504230000,28000648,3581912,7.8172,109.53,9.04
2021.08,리튬1차전지,8506500000,8587457,132548,64.7875,66.32,24.2
2021.08,리튬이온전지_ESS_proxy,850760,474126005,15406709,30.774,11.19,-10.45
2021.08,SSD,8523511000,1351718556,254283,5315.8039,33.25,21.05
2021.08,MLCC,8532240000,122385031,536882,227.9552,19.43,0.63
2021.08,PCB,853400,531605349,1563533,340.0026,21.23,0.27
2021.08,"GDDR기판, FPCB",8534002000,286282404,447454,639.803,26.81,-1.91
2021.08,PCB,8534009000,244301659,1109565,220.1779,15.76,2.97
2021.08,소켓,8536909090,67644481,931042,72.6546,9.62,-16.81
2021.08,태양광패널,8541430000,95397556,13953378,6.8369,-11.53,8.34
2021.08,반도체전체,8542,10034267633,1807600,5551.1549,42.68,8.22
2021.08,DRAM,8542321010,2571096763,143500,17917.0506,55.22,12.68
2021.08,NAND Flash,8542321030,566156787,52626,10758.1193,12.53,14.53
2021.08,MCP,8542323000,2822617027,86430,32657.839,58.91,4.13
2021.08,해저케이블(2),8544602010,22001838,3750958,5.8657,172.1,51.72
2021.08,해저케이블(1),8544603010,21371031,3252603,6.5704,86.25,-36.65
2021.08,체성분분석기,9018198000,3923602,27621,142.0514,10.85,-28.96
2021.08,인터페이스보드,9030901000,26568501,20799,1277.3932,3.86,-20.65
2021.09,라면,1902301010,58499164,16895331,3.4624,13.95,14.96
2021.09,양극재 NCM,2841909020,395237141,15868007,24.9078,63.54,2.05
2021.09,톡신,300249,23709598,34428,688.672,10.98,104.86
2021.09,톡신,3002491000,23709598,34428,688.672,10.98,104.86
2021.09,창상피복재,3005904000,4902988,55791,87.8813,433.87,19.09
2021.09,화장품,330499,684764836,22748043,30.1021,8.39,26.66
2021.09,기초화장품,3304991000,448119506,15312545,29.2649,15.85,23.44
2021.09,메이크업화장품,3304992000,57616838,899530,64.0522,-3.05,17.85
2021.09,필러,3304999000,173429212,6190644,28.0147,-4.73,38.22
2021.09,마스크팩,3307904000,60370385,4984368,12.1119,12.07,31.39
2021.09,동박,7410211000,29907246,388342,77.0126,23.43,-18.32
2021.09,알루미늄박,7606120000,166548179,46035526,3.6178,36.99,-18.4
2021.09,레이저마커장비,8456119000,19196727,160751,119.419,70.26,42.16
2021.09,DRAM모듈,8473304060,1206487771,158680,7603.2756,-0.33,1.09
2021.09,변압기,8504,171132722,8706492,19.6558,-11.26,-17.32
2021.09,대형변압기,8504230000,6878827,712104,9.6599,-77.85,-75.43
2021.09,리튬1차전지,8506500000,8232990,117162,70.2701,-1.71,-4.13
2021.09,리튬이온전지_ESS_proxy,850760,498874263,15736872,31.701,-0.94,5.22
2021.09,SSD,8523511000,1516040878,291721,5196.8863,61.27,12.16
